year,price,data_year,scenario,fuel,region,dollar_year
2029,1.861568,2025,no_111d,coal,p11,2024
2028,1.677208,2025,no_111d,coal,p11,2024
2027,1.727306,2025,no_111d,coal,p11,2024
2026,1.791515,2025,no_111d,coal,p11,2024
2025,2.078532,2025,no_111d,coal,p11,2024
2024,2.115688,2025,no_111d,coal,p11,2024
2050,0.7515229999999999,2025,no_111d,uranium,p27,2024
2049,0.751599,2025,no_111d,uranium,p27,2024
2048,0.7516649999999999,2025,no_111d,uranium,p27,2024
2047,0.75173,2025,no_111d,uranium,p27,2024
2046,0.751806,2025,no_111d,uranium,p27,2024
2045,0.751871,2025,no_111d,uranium,p27,2024
2044,0.7519359999999999,2025,no_111d,uranium,p27,2024
2043,0.752012,2025,no_111d,uranium,p27,2024
2042,0.7520779999999999,2025,no_111d,uranium,p27,2024
2041,0.752154,2025,no_111d,uranium,p27,2024
2040,0.752219,2025,no_111d,uranium,p27,2024
2039,0.752284,2025,no_111d,uranium,p27,2024
2038,0.75236,2025,no_111d,uranium,p27,2024
2037,0.752425,2025,no_111d,uranium,p27,2024
2036,0.752491,2025,no_111d,uranium,p27,2024
2035,0.752567,2025,no_111d,uranium,p27,2024
2034,0.752632,2025,no_111d,uranium,p27,2024
