region,year,weather_year,time_index,load_mw
p11,2045,2012,85,4321.0
p11,2045,2012,86,4475.0
p11,2045,2012,87,4476.0
p11,2045,2012,88,4342.0
p11,2045,2012,89,4288.0
p11,2045,2012,90,4216.0
p11,2045,2012,91,4202.0
p11,2045,2012,92,4255.0
p11,2045,2012,93,4497.0
p11,2045,2012,94,4611.0
p11,2045,2012,95,4585.0
p11,2045,2012,96,4469.0
p11,2045,2012,97,4288.0
p11,2045,2012,98,4071.0
p11,2045,2012,99,3864.0
p11,2045,2012,100,3809.0
p11,2045,2012,101,3860.0
p11,2045,2012,102,3767.0
p11,2045,2012,103,3550.0
p11,2045,2012,104,3621.0
p11,2045,2012,105,3763.0
p11,2045,2012,106,3988.0
p11,2045,2012,107,4038.0
p11,2045,2012,108,4114.0
p11,2045,2012,109,4265.0
p11,2045,2012,110,4433.0
p11,2045,2012,111,4443.0
p11,2045,2012,112,4340.0
p11,2045,2012,113,4281.0
p11,2045,2012,114,4214.0
p11,2045,2012,115,4194.0
p11,2045,2012,116,4228.0
p11,2045,2012,117,4469.0
p11,2045,2012,118,4591.0
p11,2045,2012,119,4562.0
p11,2045,2012,120,4443.0
p11,2045,2012,121,4285.0
p11,2045,2012,122,4088.0
p11,2045,2012,123,3897.0
p11,2045,2012,124,3981.0
p11,2045,2012,125,4078.0
p11,2045,2012,126,3972.0
p11,2045,2012,127,3713.0
p11,2045,2012,128,3800.0
p11,2045,2012,129,3937.0
p11,2045,2012,130,4169.0
p11,2045,2012,131,4220.0
p11,2045,2012,132,4330.0
p11,2045,2012,133,4510.0
p11,2045,2012,134,4690.0
p11,2045,2012,135,4694.0
p11,2045,2012,136,4553.0
p11,2045,2012,137,4461.0
p11,2045,2012,138,4382.0
p11,2045,2012,139,4351.0
p11,2045,2012,140,4403.0
p11,2045,2012,141,4650.0
p11,2045,2012,142,4760.0
p11,2045,2012,143,4718.0
p11,2045,2012,144,4612.0
p11,2045,2012,145,4464.0
p11,2045,2012,146,4270.0
p11,2045,2012,147,4078.0
p11,2045,2012,148,3682.0
